大南正編列傳初集卷之三十。	ĐẠI NAM CHÍNH BIÊN LIỆT TRUYỆN Tập đầu, quyển 30.
薄暮仕入城，縱兵大掠，遣部將阮文和追整，及之戰于三層山。	Xế chiều Võ Văn Sĩ (Nhậm) vào thành, tung quân cướp phủ lớn lao sai bộ tướng Nguyễn Văn Hoà đuổi theo Hữu Chỉnh, theo kịp Chỉnh ở núi Tam tầng.
有攸力鬬死于陣。	Hữu Du ra sức chiến đấu chết trong trận.
整馬仆爲所獲，送回昇龍。	Nguyễn Hữu Chỉnh, vì ngựa vấp ngả, bị bắt sống, bị đưa về Thăng long.
仕數其罪支解之。	Võ Văn Sĩ (Nhậm) kể tội của Nguyễn Hữu Chỉnh ra rồi phanh thây Nguyễn Hữu Chỉnh.
召統帝避居保祿山中。	Vua Chiêu thống trốn tránh trong núi Bảo lộc.
遂以黎崇讓公維𬓑監國。	Võ Văn Nhậm bèn cho Sùng nhượng công Lê Duy Cận làm Giám quốc.
吳文楚不悅誣以反，惠殺之。	Ngô Văn Sở không thích, vu oan cho Võ Văn Nhậm làm phản để Nguyễn Huệ giết đi.
仕岳女婿也。	Võ Văn Sĩ (Nhậm) là con rể của Nguyễn Nhạc.
初惠雖使仕而心頗疑之，密語吳文楚潘文璘曰：“仕是行也握重兵擅大國事，變不可逆料。	Lúc đầu Nguyễn Huệ tuy sai Võ Văn Sĩ (Nhậm) mà lòng hơi nghi, bí mật nói với Ngô Văn Sở Phan Văn Lân rằng: "Sĩ (Nhậm) trong chuyến đi này cầm trọng binh, chuyên coi sóc việc của một nước lớn (nhà Lê) thì việc biến không thể nào liệu dò trước được. Điều ta lo không ở Bắc hà mà chỉ ở Sĩ (Nhậm) thôi.
我所慮不在北河只在仕耳。 汝等宜察之，譬之火然，撲於始燄則易爲力也。”	Bọn ngươi phải xem xét hắn, cũng như lửa vậy, dập tắc lửa mới nhen nhúm thì sức dễ làm."
及仕乘勝長驅如入虛邑，阮有整旣俘召統帝出居于外，京北則陳光珠，黄春秀，山南則际康等按地據守。	Kịp khi Võ Văn Sĩ (Nhậm) thừa thắng đuổi dài như vào nước trống, Nguyễn Hữu Chỉnh đã bị bắt sống, vua Chiêu thống chạy ra ở ngoài, ở Kinh bắc thì Trần Quang Chu, Hoàng Xuân Tú, ở Sơn nam thì bọn Nguyễn Viết khang chiếm đất chống giữ.
黎之親屬維仲，維欖則起于淸化，維祇則起于定州，互相聲應。	Thân thuộc của nhà Lê là Duy Trọng Duy Lãm thì khởi nghĩa ở Thanh hóa, Duy Chi thì khởi nghĩa ở Định châu làm thanh ứng lẫn nhau.
有嘉林璣舍人陳廷魁自稱黎詹事言於仕曰：“北河怨整雖深而思黎之心未釋，嗣君一去未卜回期。	Có Trần Đình Khôi, người ở Cơ xá thuộc Gia lâm tự xưng làm quan Chiêm sự nhà Lê nói với Sĩ (Nhậm) rằng: "Bắc hà oán Chỉnh tuy sâu mà lòng nhớ nhà Lê chưa nguôi. Vua nối ngôi (Chiêu thống) một khi ra đi chưa định ngày về.
今有崇讓公黎維槿，先帝在辰己正位東宮，壬寅之變爲驕兵所廢。	Nay Có Sùng nhượng công Lê Duy Cận, lúc tiên đế (Hiền tông) còn sống đã chánh vị đông cung, trong biến cố năm nhâm dần (1782) bị kiêu binh phế xuống.
公能復之，掛一紙于大興門，不日之間文武畢集。	Ông có thể phục hồi chức vị cho Sùng nhượng công, treo một tờ giấy ở cửa Đại hưng thi nội ngày văn võ bá quan tụ tập hết.
天下之事運之如反掌耳。”	Việc nước mình vận chuyển dễ trở như bàn tay."
仕頜之，使人迎維槿監國，居于勤政殿左偏，遍求黎諸臣亦無一人至者。	Võ Văn Sĩ (Nhậm) gật đầu, sai người đón Lê Duy Cận làm Giám quốc, cho ở phía tả điện Cần chính, tìm khắp nơi các bề tôi của nhà Lê cũng không có một người đến.
京中呼曰監國吏目。	Người trong kinh thành gọi Lê Duy Cận là Giám quốc lại mục (Chức quan nhỏ coi việc nước).
楚言于仕曰：我看崇讓公面目如何軀策得人。	Ngô Văn Sở nói với Võ Văn Sĩ (Nhậm) rằng: - Tôi xem mặt mũi Sùng nhượng công như thế thì làm sao sai khiển được ai.
自古天下亦非誰家私物，如可取則取之，何事倩一市奴監國作木偶主人？	Từ xưa thiên hạ cũng không phải vật riêng của nhà họ nào, như có thể lấy thì lấy đi, việc gì phải mượn một thằng hèn hạ trong đô thị coi việc nước làm ông chủ bù nhìn bằng gỗ?
我久頓城中反爲他作流寓客兵耶？ 仕日。	Tôi đóng mãi trong thành trái lại phải làm khách binh lưu ngụ của hắn hay sao? Võ Văn Sĩ (Nhậm) nói:
趙紀.	Kỷ nhà triệu.
武帝.	Vũ đế.
在位七十一年,壽一百二十歳. [趙氏,因秦衰乱,殺秦長吏,㨿有領南之地,称帝,𭁈漢抗衡,享國傳祚百年而後亡,亦英䧺之英也].	Ở ngôi bảy mươi mốt năm, thọ một trăm hai mươi mốt tuổi.
姓趙諱它,漢真定人也,建都番禺[今在廣東是也].	Họ triệu, nhân lúc nhà tần suy loạn, giết trưởng lại tần, chiếm giữ đất lĩnh nam, xưng đế, đòi ngang với nhà hán, hưởng nước truyền ngôi một trăm năm mới mất, cũng là bậc vua anh hùng. Họ triệu, tên huý là đà, người huyện chân định nước hán, đóng đô ở phiên ngung (nay ở tỉnh quảng đông).
甲午,元年,[秦二世三年].	Giáp ngọ, năm thứ nhất, (tần nhị thế năm thứ ba).
帝併有林邑,象郡之地,自立爲南帝王.	Vua chiếm lấy đất lâm ấp và tượng quận, tự lập làm nam việt vương.
乙未,二年,[西楚覇王項籍元年,漢王劉󰘊元年].	Ất mùi, năm thứ hai, (tây sở bá vương hạng tịch năm thứ nhất; hán vương lưu bang năm thứ nhất).
是歲秦亡. 丁酉,四年,[楚項籍三年;冬,十月,晦,日食十一月,晦,日食.	Năm ấy nhà tần mất.
戌五年楚項籍四年,漢劉󰘊四年.	Đinh dậu, năm thứ bốn, (sở hạng tịch năm thứ ba; hán lưu bang năm thứ ba). Mậu tuất, năm thứ năm, (sở hạng tịch năm thứ bốn; hán lưu bang năm thứ bốn).
秋,七月,有星孛于大角.	Mùa thu, tháng bảy, sao chổi mọc ở khu vực sao đại giác. Kỷ hợi, năm thứ sáu, (hán cao đế năm thứ năm).
几亥,六年[漢髙帝五年]. 春,二月,漢王即皇帝位.	Mùa xuân, tháng hai, hán vương lên ngôi hoàng đế.
是歳西楚亡.	Năm ấy tây sở mất.
癸卯,十年[漢髙帝九年].	Quý mão, năm thứ mười, (hán cao đế năm thứ chín).
帝令二使典主交趾,九真二郡.	Vua sai hai sứ coi giữ hai quận giao chỉ và cửu chân.
漢即定天下,聞帝亦已王越,因遣陸賈往拜帝爲南越王,授壐綬剖符通使,使和集百粤,毋爲冦災.	Ất tỵ, năm thứ mười hai, (hán cao đế năm thứ mười một) nhà hán đã định được thiên hạ, nghe tin vua cũng đã xưng vương ở nước việt, mới sai lục giả sang phong vua làm nam việt vương, trao cho ấn thao và con so bổ đôi, thông sứ với nhau, bảo vua giữ yên đất bách việt, chớ cướp phá.
使者至,帝踞見賈.	Khi sứ đến, vua ngồi xổm mà tiếp lục giả.
賈曰:"王本. 漢人,親戚墳墓皆在于漢,今反本俗,欲㨿於此典漢抗衡爲敵,𡸈不謬哉? 且夫,秦失其鹿,天下共逐之,惟漢帝寬仁愛人,民皆樂從,起豊沛先八關㨿咸陽,攘除兇𨢄.	Giả nói: " vương vốn là Người hán, họ hàng mồ mả đều ở nước hán, nay lại làm trái tục nước mình, muốn chiếm đất này làm kẻ địch chống chọi với nhà hán, há chẳng lầm hay sao? Vả lại, nhà tần mất con hươu, thiên hạ đều tranh nhau đuổi, chỉ có hán đế khoan nhân yêu người, dân đều vui theo, khởi quân từ đất phong bái mà vào quan trung trước tiên để chiếm giữ hàm dương, dẹp trừ hung bạo.
五年之間,󰰻乱反正,平定四海,此非人力,殆天𭁈也.	Trong khoảng năm năm, dẹp yên loạn lạc, bình định bốn biển, đó không phải là sức người làm nổi, tức là trời cho.
漢帝聞王王此,常欲一决勝負,以百姓新勞苦故罷之,遣使奉其印綬遣王,王宜郊迎拜謁示其敬也.	Hán đế nghe vương làm vua ở đất này, từng muốn quyết một phen được thua, nhưng vì dân chúng lao khổ vừa xong cho nên phải bỏ ý định, sai sứ mang ấn thao cho vương, đáng lẽ vương phải ra ngoài giao nghênh đón bái yết để tỏ lòng tôn kính.
今既不然,僃禮具之可也,奈何自特百粤之󰕛慢易天子使者?	Nay đã không làm thế, thì nên sắm lễ mà tiếp sứ giả mới phải, sao lại cậy dân bách việt đông mà khinh nhờn sứ giả của thiên tử?
天子聞之𭛁兵問罪,則王将如之何?"	Thiên tử nghe biết, phát binh sang hỏi tội, thì vương làm thế nào?
帝蹶然,興起曰:"居此日久殊. 失禮義".	Vua ra dáng sợ hãi, đứng dậy nói: " tôi ở đất này lâu ngày Quên mất cả lễ nghĩa ".
因問賈曰:"我𭁈蕭何,曹參󰰽賢".	Nhân hỏi giả rằng: " tôi với tiêu hà, tào tham ai hơn? "
曰:"王自賢".	giả nói: " vương hơn chứ ".
又問:"我𭁈漢帝󰰽賢?"	Lại hỏi: " tôi với vua hán ai hơn?
賈曰""漢帝繼五帝三王之業,綂理乎漢人以億萬計,地方萬里,物殷民富,政由一家,開闢以來,未之有也.	Giả nói: " hán đế nối nghiệp của ngũ đế tam vương, thống trị người hán kể hàng ức vạn người, đất rộng hàng muôn dặm, vật thịnh dân giàu, quyền chính chỉ do một nhà, từ khi trời đất mở mang đến nay chưa từng có.
今王󰕛不過十萬,雜處山海間,譬如漢一郡也,何乃比於漢帝".	Nay dân của vương, chẳng qua mười vạn ở, ở xen khoảng núi biển, chỉ ví như một quận của nhà hán, ví với hán đế sao được?
突曰:"吾恨不起於彼何遠,不若漢?"	Vua cười và nói: " tôi lấy làm giận không được nổi dậy ở bên ấy, biết đâu chẳng bằng nhà hán? "
賈默然色洱.	giả ngồi im lặng, sắc mặt tiu nghỉu.
乃留賈居数月.	Bèn giữ giả ở lại vài tháng.
曰:"越中無足𭁈語.	Vua nói: " ở đất việt này không ai đủ để nói chuyện được.
賜賈槖中装直千金. 及賈㱕復,賜千金[橐中装謂以珠寳装裏八囊橐.	Đến khi giả về, lại cho thêm nghìn vàng nữa. " cho giả đồ châu báu giá nghìn vàng để làm vật bỏ bao.
丙午,十三年,[漢髙帝十二年].	Bính ngọ, năm thứ mười ba, (hán cao đế năm thứ mười hai). Mùa hạ, tháng bốn, vua hán băng.
夏,四月,漢帝崩. 庚戌,十七年,[漢惠帝,盈四年].	Canh tuất, năm thứ mười bảy, (hán huệ đế doanh năm thứ bốn). Quý sửu, năm thứ hai mươi, (hán huệ đế năm thứ bảy) mùa xuân, tháng giêng, ngày mồng một, nhật thực.
春,正月,朔,日食夏,五月,日食既.	Mùa thu, tháng tám, vua hán băng.
秋,八月,漢帝崩. 乙卯,二十年[漢髙后吕雉二年].	Ất mão, năm thứ hai mươi hai, (hán cao hậu lữ trĩ năm thứ hai).
复,六月,晦,日食.	Mùa hạ, tháng sáu, ngày ba mươi, nhật thực.
丁巳,二十四年[漢髙后漢禁南越關市鉄噐. 帝曰:"髙帝立,我通使,共噐物.	Đinh tỵ, năm thứ hai mươi bốn, (hán cao hậu năm thứ bốn). Vua nói: " khi cao đế lên ngôi, ta cùng thông sứ chung đồ dùng.
今髙后聽讒臣,别異漢越噐物. 此必長沙王計,欲倚漢威德圖我國而併王之,自爲功也".	Nay cao hậu nghe lời gièm pha, phân biệt đồ dùng hán, việt. Việc này tất là mưu kế của trường sa vương muốn dựa uy đức của nhà hán mưu lấy nước ta mà làm vua cả, tự làm công của mình ".
戊午,二十五年,[漢髙后五年].	Mậu ngọ, năm thứ hai mươi lăm, (hán cao hậu năm thứ năm).
春,帝即皇帝位,𭛁兵功長沙,敗數郡而還.	Mùa xuân, vua lên ngôi hoàng đế, đem quân đánh trường sa, đánh bại mấy quận rồi về.
庚申,二十七年,[漢髙后七年].	Canh thân, năm thứ hai mươi bảy, (hán cao hậu năm thứ bảy).
漢使隆慮[音林閭],侯周竃擊南越以報長沙之役.	Nhà hán sai lâm lư hầu chu táo sang đánh nam việt để báo thù việc đánh trường sa.
會暑濕大𤶣,遂󰰾兵.	Gặp khi nắng to ẩm thấp, bệnh dịch phát, bèn bãi quân.
帝因此以兵威敗物招撫閩越,西甌貉[即交跐九真],皆從属焉,東西萬餘里.	Vua nhân thế dùng binh uy và của cải để chiêu vỗ mân việc và âu lạc ở phía tây (tức là giao chỉ và cửu chân), các nơi ấy đều theo về, từ đông sang tây rộng hơn vạn dặm.
御黃屋,左纛,稱制𭁈漢並.	Vua ngồi xe mui vàng, dùng cờ tả đạo, cho là nghi vệ ngang với nhà hán.
辛酉,二十八年,[漢髙后八年].	Tân dậu, năm thứ hai mươi tám, (hán cao hậu năm thứ tám).
秋,七月,髙后崩,諸大臣迎立代王恒,是爲文帝.	Mùa thu, tháng bảy, cao hậu băng, các đại thần đón đại vương hằng lên ngôi, tức là văn đế.
壬戌,二十九年,[漢文帝恒元年].	Nhâm tuất, năm thứ hai mươi chín, (hán văn đế hằng năm thứ nhất).
漢帝爲帝親塚在真定者. 置守邑,歳時奉祀,召其昆弟爲尊官厚賜.	Vua hán vì thấy mồ mả tổ tiên của vua đều ở chân định Mới đặt người thủ ấp để trông coi, tuế thời cúng tế, gọi các anh em của vua cho làm quan to, ban cho hậu.
之問宰相陳平,󰁮可使越者.	Vua hán hỏi tể tướng trần bình có thể cử ai sang sứ nam việt được, bình nói: " lục giả thời tiên đế đã từng sang sứ nam việt ".
漢帝召賈爲太中大夫,謁者一人爲副使,往遣帝書.	Vua hán gọi giả cho làm thái trung đại phu, lấy một người yết giả làm phó sứ, đem thư sang cho vua.
曰:"謹問南越王甚苦心勞意.	Thư nói: " kính hỏi thăm nam việt vương rất lao tâm khổ ý.
朕髙帝側室之子也,棄外奉藩于代道理遼遠,壅󰰿撲愚,未嘗𦤶書.	Trẫm là con vợ lẽ của cao đế, phải đuổi ra ngoài làm phiên vương ở đất đại, vì đường sá xa xôi, kiến thức hẹp hòi quê kệch, nên chưa từng gửi thư.
髙皇帝棄群臣,孝惠皇帝即世髙后自臨事,不幸有疾,諸吕擅權爲變,不䏻獨制,乃取他姓子爲孝惠皇帝.	Cao hoàng đế lìa bỏ bầy tôi, hiếu huệ hoàng đế qua đời, cao hậu tự lên trông coi việc nước, không may có bệnh, người họ lữ chuyên quyền làm bậy, một mình khống chế ngự được, mới lấy con người họ khác nối nghiệp hiếu huệ hoàng đế.
嗣頼宗廟之靈,功臣之力,誅之已畢.	Nhờ anh linh tông miếu và sức lực của các công thần, đã giết hết bọn ấy.
朕以王󰍆吏不釋之故,不得不立,今即位.	Trẫm vì các vương hầu và quan lại không cho từ chối, không thể không nhận, nay đã lên ngôi.
乃者聞王遣将. 帝,两帝並立亡一乘之使以通,其道之爭也.	Mới rồi nghe nói vương có gửi thư cho tướng Đế, hai đế cùng lập mà không có xe sứ thông hiếu, thế là tranh nhau.
乎而不讓,仁者不爲也.	Tranh mà không biết nhường thì người có nhân không làm.
願𭁈王分棄前惡終,今以来通使如故.	Trẫm nguyện cùng vương đều bỏ hiềm trước, từ nay trở đi thông hiếu như xưa.
故使陸賈往馳諭,吿王以朕本意.	Vì vậy mới sai lục giả sang đưa tờ dụ, để tỏ với vương bản ý của trẫm.
