会子盐上会子、交子之法盖有取于唐之飞钱。	Pháp trao đổi tiền muối và tiền giao dịch của hội tử có nguồn gốc từ tiền bay thời Đường.
试令咏物为四句诗颇有思致叹赏而奇之语曰：「此儿他日必以文章显吾老矣不见汝曹善保护之」。	Thử khiến cho việc ca ngợi trở thành bốn câu thơ, có phần tư tưởng và cảm thán, mà kỳ lạ rằng: Đứa trẻ này, ngày sau nhất định sẽ dùng văn chương để làm rạng danh cho ta, nhưng ta đã già rồi, không thấy được các ngươi, hãy bảo vệ cho tốt.
擢进士第释褐霍丘主簿。	Đỗ tiến sĩ, thăng chức, làm chủ bộc tại Hoắc Khâu.
以其材干奏移。代还刑部取为详覆官迁。	Dựa vào tài năng mà thăng tiến Thay mặt bộ Hình, xin được thẩm tra việc chuyển giao chức vụ.
先是尝取古今史传听讼断狱、辨雪冤枉等事著为《疑狱集》因增益事类分为三卷表上之。	Trước đây, đã từng thu thập các sử truyền cổ kim, nghe các vụ kiện, phân xử và làm rõ những oan ức, v.v... để biên soạn thành tập nghi án, do đó mà phân loại các sự việc thành ba quyển và trình lên.
俄献所著文赋五十轴召试中书擢为。先是冯起撰《御前登第三榜碑》以献上甚称奖命。	Nga hiến tác văn phú năm mươi trục triệu thử Trung Thư trạch vị Trước đây, Phùng Khởi soạn bia đệ tam bảng trước triều để dâng lên, rất được khen thưởng.
初又撰《七榜题名记》并补注所撰《古今孝悌集成》十卷以献遂以本官中谢日赐绯鱼。	Lần đầu tiên lại biên soạn bảy bảng ghi tên và bổ sung chú thích cho bộ "Tập hợp hiếu đễ cổ kim" mười quyển để dâng tặng, do đó mà trong chức vụ của mình, tôi đã cảm tạ ngày được ban tặng cá chép đỏ.
献《观灯赋》诏付史馆迁。亲试贡士预考校作歌以献上对称赏之召问年几何。	Dâng ánh đèn ngắm nhìn, sắc chỉ giao cho sử quán di chuyển Kính dâng bài thơ để tặng thưởng cho những người đã tham gia kỳ thi, xin hỏi năm nay có bao nhiêu người.
时摹印《儒行篇》以赐新及第人及三馆、台省官皆上表称谢。	Thời khắc khắc họa văn chương Nho giáo để ban tặng cho những người mới đỗ đạt và các quan viên tại ba viện, đều dâng biểu tạ ơn.
上时御便坐出表以示而与张洎尤称上旨因谓曰：「子勤学自立有文章能荷堂构如者不可多得也」。	Vào thời điểm đó, Hoàng thượng đã ngự giá ra ngoài và chỉ ra điều này để thể hiện, đồng thời khen ngợi Trương Tế, nói rằng: "Con chăm chỉ học hành, tự lập, có văn chương, có thể gánh vác việc lớn như vậy, thật là hiếm có."
遂以本官。不逾年加、知理检院。赐金紫与王旦同判吏部铨。	Vậy nên, theo chức vụ của mình Không quá một năm, thêm biết lý kiểm viện Ban vàng tím cho Vương Đán cùng phán xử bộ Lại.
是秋晨起将朝风眩暴作而卒年四十五。	Vào một buổi sáng thu, gió ban mai thổi mạnh, và tôi đã qua đời ở tuổi bốn mươi lăm.
上闻之惊叹遣中使就家问疾状并恤其孤賵赙加等。	Nghe tin trên, cảm thấy kinh ngạc, sai sứ giả về nhà thăm hỏi bệnh tình và an ủi những kẻ cô đơn, ban tặng ân huệ.
长子珙才即授。次子璬补。好修饰容仪自五鼓张灯烛至辨色冠带方毕。	Trưởng tử Củng Tài liền được phong Con trai thứ là Tinh Bổ Tốt đẹp trang điểm dung nhan từ năm tiếng gõ đến khi đèn nến sáng rực, đến lúc phân biệt sắc màu và đội mũ áo hoàn tất.
虽幼能属文殊少警策。	Dù còn trẻ nhưng đã có thể thuộc lòng văn chương của Văn Thù, ít bị cảnh giác.
每草制必精思讨索而后成拘于引类偶对颇失典诰之体。	Mỗi một tác phẩm đều phải được suy nghĩ tỉ mỉ và tìm tòi trước khi hoàn thành, nếu không sẽ bị ràng buộc bởi những kiểu mẫu tương tự, dễ dàng mất đi vẻ đẹp của thể loại điển cố.
上以其贵家子能业文甚宠待之欲召入翰林谓近臣曰：「眸子眊眊然胸中必不正不可以居近侍也」。	Vì gia đình quý tộc của hắn có thể làm văn, rất được sủng ái, muốn triệu vào Hàn Lâm, bèn nói với các quan gần gũi rằng: "Đôi mắt của hắn mờ mịt, trong lòng chắc chắn không ngay thẳng, không thể ở gần hầu hạ được."
其命遂寝。	Vận mệnh của họ đã an bài.
弟嵲始为三班奉职中献文求试上以故相之后改授。字人。	Đệ Tài ban đầu làm việc trong ba ban, dâng văn cầu thi, sau vì là con cháu của tướng cũ mà được thăng chức.
父周太师、中书令追封。吉晋初以父任迁膳部、金部、屯田、户部、司勋郎中累阶金紫。周显德中迁。吉嗜学善属文工草隶议者以掌诰许之。	Chữ người Phụ Tào Thái Sư Trung Thư Lệnh truy phong Khi mới nhậm chức, Từ Giáp được giao nhiệm vụ quản lý bộ phận lương thực, bộ phận kim loại, và bộ phận thuế, từng bước thăng tiến lên hàng ngũ quan lại, đạt được phẩm hàm vàng và tím. Triều đại Chu, thời kỳ Hiển Đức Cát thích học, giỏi viết văn, khéo léo trong việc biên soạn, được giao cho việc ban bố sắc chỉ.
然性滑稽无操行每缺即欲用吉终以佻薄而止。	Tính cách hài hước, không có đạo đức, mỗi khi thiếu thốn lại muốn dùng điều tốt, cuối cùng chỉ dừng lại ở sự nông cạn.
雅好琵琶尤臻其妙教坊供奉号名手者亦莫能及。	Sự yêu thích đàn tỳ bà đạt đến mức tinh tế, những người được cung phụng trong các giáo phường cũng không thể sánh kịp.
父常戒令勿习吉性所好亦不能改。	Cha thường dạy bảo rằng không nên theo đuổi những sở thích của tính cách tốt đẹp mà cũng không thể thay đổi.
道欲辱之因家宴令吉奏琵琶为寿赐以束帛吉置于肩左抱琵琶按膝再拜如伶官状了无怍色家人皆大笑。	Đạo muốn nhục mạ, nên trong bữa tiệc gia đình, lệnh cho Giáp đàn tranh để chúc thọ. Tặng cho một bó vải, đặt lên vai trái, ôm đàn tranh, tay đặt lên đầu gối, lại lạy như hình dáng của người diễn viên, hoàn toàn không có vẻ xấu hổ, mọi người trong gia đình đều cười lớn.
及为少卿颇不得意以杯酒自娱。	Và làm chức Thái Kinh, nhưng không được như ý, chỉ tự vui với chén rượu.
每朝士宴集虽不召亦常自至酒酣即弹琵琶弹罢赋诗诗成起舞。	Mỗi triều đại, dù không triệu tập, các sĩ phu vẫn thường tự đến dự tiệc. Khi rượu say, họ liền gảy đàn tỳ bà, sau khi đàn xong thì sáng tác thơ, thơ vừa hoàn thành liền đứng dậy nhảy múa.
时人爱其俊逸谓之「三绝」。	Thời nhân yêu mến vẻ đẹp thanh thoát của họ, gọi là Tam tuyệt.
宋初受诏撰述《明宪皇太后谥议》见称于时。	Đầu triều Tống, nhận lệnh biên soạn nghị luận về Thái hậu Minh Hiến, được ca ngợi vào thời điểm đó.
卒年四十五。宗室世系一昔者帝王之有天下莫不众建同姓以树蕃屏其不得以有国者则亦授之土田使帅其宗氏辑其分族。	Năm mất bốn mươi lăm Hệ thống dòng dõi tôn thất, xưa kia các hoàng đế cai trị thiên hạ, không ai không lập ra họ tộc cùng tên để củng cố và bảo vệ, những người không thể có quốc gia thì cũng được ban cho đất đai, để dẫn dắt dòng họ của mình và hợp nhất các nhánh tộc.
故继别之宗百世不迁岂惟赖其崇奖维持以成不拔之基哉。	Vì vậy, dòng dõi kế thừa không thay đổi qua trăm đời, chẳng phải chỉ nhờ vào sự tôn vinh và duy trì mà thành lập nền tảng vững bền hay sao?
盖亲亲之仁为国大经理固然也。	Chắc chắn rằng tình thương của người thân vì đại nghĩa của quốc gia là điều quan trọng.
《周官》宗伯掌三族之别以辨亲疏于是叙昭穆之法隆杀行焉。	Chức Tôn Bạc của triều đại Chu quản lý sự phân biệt giữa ba dòng họ để phân định quan hệ gần xa, do đó thiết lập quy tắc về thứ bậc, làm cho việc giết chóc trở nên nghiêm ngặt.
此世系之所以不可不谨也。	Dòng dõi này vì sao không thể không cẩn trọng?
后世封建废而宗法坏帝王之裔至或杂于民伍沦为皂隶甚可叹也。	Thế hệ sau phong kiến bị bãi bỏ, tông pháp bị hủy hoại, con cháu của các bậc đế vương đến nỗi bị hòa lẫn vào dân chúng, rơi vào cảnh nô lệ, thật đáng tiếc.
然靖康之变往往沦徙死亡于兵难南渡所存十无二三而国之枝叶日以悴矣。	Thế nhưng, biến cố Tĩnh Khang đã thường xuyên dẫn đến sự di dời và cái chết trong cảnh binh đao, chỉ còn lại mười phần hai ba, mà cành lá của quốc gia ngày càng héo úa.
今因载籍之旧考其源委作《宗室世系表》。	Hôm nay, do việc khảo cứu các sách vở cũ, tôi lập bảng phả hệ của dòng dõi hoàng tộc.
太祖四子：长滕王德秀次燕王德昭次舒王德林次秦王德芳。	Thái Tổ có bốn người con: Trưởng Tằng Vương Đức Hiếu, thứ Yên Vương Đức Chiêu, thứ Thư Vương Đức Lâm, thứ Tần Vương Đức Phương.
德秀、德林无后。表略。字长子也。生有奇质从季父子翬学。	Đức Hiếu, Đức Lâm không có con cái Bảng tóm tắt Chữ Trường Tử Sinh ra đã có phẩm chất kỳ lạ, theo học với con trai của chú mùa.
以荫补承务郎登进士乙科监绍兴府都税务。	Dựa vào bóng mát để bổ nhiệm chức vụ Thừa vụ lang, đỗ Tiến sĩ hạng B, giám sát thuế vụ tại phủ Tống Thị.
请祠归杜门力学不急仕进。	Xin hãy trở về nhà thờ, nỗ lực học hành, không vội vàng tiến thân.
主管西外敦宗院召除诸王宫大小学教授迁。	Người phụ trách viện Đôn Tông ở phía Tây triệu tập các giáo sư từ các cung điện hoàng gia lớn nhỏ để chuyển đi.
秦桧欲追谥其父召礼官会问不至桧怒风言者逐之。	Tần Hoài muốn truy phong cha mình, nhưng lễ quan không đến, Hoài tức giận, những kẻ nói năng bừa bãi đều bị đuổi đi.
桧死召为大宗正丞迁。置令式庭中使选集者得自翻阅与吏辨吏无得藏其巧。	Huyền tử triệu làm Đại Tông Chính Thừa chuyển Đặt lệnh cho các quan trong triều có thể tự do xem xét và phân biệt với các quan lại, không được phép giấu diếm tài năng của mình.
兼权兼权。金犯边王师北向诏檄多出其手词气激烈闻者泣下。	Kết hợp quyền lực Vàng xâm phạm biên cương, vua sai quân bắc tiến, chiếu chỉ ra lệnh, nhiều lời lẽ tay viết, khí phách mãnh liệt, người nghe rơi lệ.
劾宦者忤旨左迁不草制莘老得不去。	Trừng phạt kẻ quyền quý trái ý, bị giáng chức không soạn thảo, lão Xuân không thể rời bỏ.
从幸建康兼。车驾将还军务未有所付时张浚留守建康众望属之。	Từ hạnh kiến Kinh Khánh Xe ngựa sắp trở về, quân vụ chưa được giao phó, lúc ấy Trương Tuấn ở lại giữ thành Kiến Khang, được lòng dân giao phó.
及诏出以为江、淮宣抚使不书录黄仍论其不可。	Và sắc chỉ được ban ra để làm Giang-Huệ tuyên phu, không ghi chép lại, Hoàng vẫn luận về điều không thể.
上怒谓曰：「父为浚所知此特为浚地耳！」	Trên giận nói rằng: "Cha vì việc của Thủy mà biết, đây chỉ là để Thủy đất mà thôi.
命再下召谕旨且曰：「再缴则累张公」。	Lệnh một lần nữa hạ lệnh triệu tập, lại nói rằng: "Nếu lại nộp thì sẽ làm hại đến công của Trương."
曰：「某为国家计岂暇为张公谋」。	Nói rằng một người vì kế sách của quốc gia, nào có thời gian để mưu tính cho công tước Trương.
执奏如初存中命乃寝。	Giữ nhạc như xưa, trong lòng mệnh lệnh vẫn còn.
真除、。死其家请以没入第为赐李珂关通近习求为督府掾诏从中下皆论罢之。	Chân trừ Chết nhà mình, xin hãy để lại tài sản cho Li Khê, Quan Thông gần gũi học hỏi, cầu xin làm quan ở phủ, chiếu chỉ từ giữa dưới đều bị luận bãi.
出知泉州改衢州。	Xuất tri biết Tuyền Châu, cải Quỳ Châu.
湖南旱李金为乱朝廷忧之以、。	Hồ Nam hạn lý, Kim vì loạn triều đình mà ưu tư.
入境声言发郡县兵讨击而移书制使沉介请以便宜出师曰：「擅兴之罪吾自当之」。	Khi vào đất, tuyên bố rằng sẽ phát động quân đội các huyện để đánh đuổi và gửi thư yêu cầu Thẩm Giới hãy xuất quân theo ý kiến hợp lý, nói rằng tội tự ý khởi binh, ta sẽ tự gánh chịu.
介即遣田宝、杨钦以兵至知其暑行疲怠发夫数程外迎之代其负任至则犒赐过望军士感奋。	Giới liền phái Tiền Bảo Dương Khâm mang quân đến, biết rằng họ mệt mỏi vì nắng nóng, đã cử người ra đón họ từ xa, thay họ gánh vác trách nhiệm. Đến nơi thì đãi ngộ, khiến quân lính phấn chấn.
知钦可用檄诸军皆受节制下令募贼徒相捕斩诣吏者除罪受赏。	Biết rằng có thể dùng lệnh truyền đến các quân đội, tất cả đều chịu sự kiểm soát, hạ lệnh chiêu mộ bọn cướp, bắt giữ và chém những kẻ bị đưa đến quan, được miễn tội và nhận thưởng.
