子曰:学而时习之,不亦悅乎？	Khổng tử nói: Học thì phải luyện tập, chẳng vui lắm sao?
不忮不求,何用不臧？	Kinh Thi có câu: Không đố kỵ, chẳng tham cầu, làm gì mà chẳng tốt đẹp.
子路终身诵之。	Tử Lộ nghe được, thích lắm cứ đọc mãi hai câu này…
子曰：是道也，何足以臧？	Thấy vậy Khổng tử bảo: Chỉ có đọc thuộc như vậy, chưa đủ tốt đẹp được.
子曰：岁寒然后知松柏之后彫后也。	Khổng tử nói: Mùa lạnh, mới biết cây tùng cây bách rụng lá sau cùng.
子曰：知者不惑，仁者不忧，勇者不惧。	Khổng tử nói: Người có trí tuệ không nhầm lẫn, người đức nhân không bao giờ ưu lo, người dũng khí chẳng bao giờ sợ hãi.
子曰：可与兯学,未可与适道；可与适道,未可与立；可与立,未可与权。	Khổng tử nói: Cùng học với nhau chưa chắc cùng đắc đạo như nhau. Có thể cùng đạt như nhau nhưng chưa chắc kiên định đạo lý như nhau. Có thể cùng kiên định như nhau, chưa chắc hành xử phù hợp hoàn cảnh như nhau.
唐棣之华,偏兲反而。	Cây đường lệ nở hoa Đung đưa nở rồi khép.
岂不尔思,室是远而。	Anh đâu quên nhớ em Chỉ vì nhà xa quá!
子曰:未之思也,夫何远之有?	Đọc xong 4 câu thơ trên, Khổng tử bình luận: Vậy là chẳng “nhớ” gì đâu. Nhớ thật thì có gì là xa xôi?!
孔子於乡党，恂恂如也，似不能言者。	Khổng tử ở quê nhà, đối với bậc trên, kính cẩn chậm chạp, như không biết nói gì làm gì.
其在宗庙,朝廷，便便言,唯谨尔。	Nhưng khi ở nơi tông miếu triều đình làm việc, Khổng tử làm việc chắc chắn, thận trọng.
朝,与下大夫言,侃侃如也；与上大夫言,訚訚如也。	Ở triều đình, (Khổng tử) nói chuyện với quan đại phu dưới quyền thì thẳng thắn, với quan cấp trên thì giữ thái độ từ tốn.
君在,踧踖如也,与与如也。	Khi vua đến thì ngài cung kính rụt rè như không yên tâm, không thể hiện cử chỉ gì thất lễ.
君召使摈,色勃如也；足躩如也。	Vua triệu đến tiếp khách, Khổng tử tiếp chỉ xong thái độ nghiêm trang. Trước mặt khách, Khổng tử cẩn thận chu đáo, chân bước nhanh hơn.
揖所与立,左右手,衣前后,襜如也。	Đứng chào khách, ngài chắp hai tay cúi đầu, bên trái rồi bên phải, trang phục ngay ngắn chỉnh tề phía trước và phía sau.
趋进,翼如也。	Dẫn khách vào, đi nhanh lên trước đưa thẳng hai tay như cánh chim.
宾退,必复命曰：“宾不顾矣”。	Khách ra về, ngài quay lại vua thưa: Khách không còn ngoảnh mặt lại nữa.
入公门,鞠躬如也,如不容。立不中门，行不履阈。过位,色勃如也,足躩如也,兲言似不足者。	Khi vào cửa cung điện, Ngài kính cẩn khom lưng, như mình không có chỗ dung thân (cảm thấy mình không xứng đáng). Không đứng giữa cửa, không dẫm chân lên ngưỡng cửa; Khi đi ngang chỗ vua ngồi, sắc mặt hơi đổi, chân bước nhanh hơn, nói khe khẽ.
摄齐升堂,鞠躬如也,屏气似不息者。	Khi vén áo bước lên công đường, ngài cúi mình nín thở.
出,降一等，逞颜色,怡怡如也。没阶,趋进,翼如也。	Khi trở ra, xuống một bậc thềm thì sắc mặt ngài thư giãn vui vẻ, xuống tới bậc chót rảo bước, hai tay đưa như chim xòe cánh.
复兲位,踧踖如也。	Trở lại vị trí của mình thì ngài giữ vẻ cung kính.
执圭,鞠躬如也，如不胜。上如揖,下如授。勃如战色,足蹜蹜,如有循。	Mang ngọc Khuê (đi sứ, dâng lên vua chư hầu) hai tay dâng lên như bưng không nổi, Khổng tử giơ ngọc lên (như chào) rồi hạ xuống ngang ngực, báo hiệu sắp dâng lễ, nét mặt kính sợ.
享礼,有容色。	Khi dâng lễ vật, ngài tươi tắn trang trọng.
私觌，愉愉如也。	Khi đưa lễ của riêng mình thì ngài thoải mái vui tươi.
君子不以绀緅饰，红紫不以为亵服。	Quân tử không dùng màu xanh da trời và màu đỏ nâu để viền quần áo (màu xanh da trời là màu dùng khi cúng tế, màu đỏ nâu dùng khi có tang).
当暑,袗絺绤,必表而出之。	Trời nóng, Khổng tử mặc áo đơn mỏng nhất định có lót bên trong.
缁衣,羔裘；素衣，麑裘；黄衣，狐裘。亵裘长,短右袂。	Mùa lạnh áo da cừu đen bên trong, áo dài đen ở ngoài; hoặc áo da hươu trắng bên trong thì áo dài trắng ở ngoài, nếu mặc áo da cáo màu vàng ở trong thì áo dà vàng ở ngoài. Áo thường ngày mặc ở nhà dài hơn lễ phục một ít, ống tay phải ngắn hơn ống trái một ít cho dễ làm việc.
必有寝衣,长一身有半。	Khi ngủ ngài mặc áo dài bằng nửa người.
狐貉之厚以居。	Áo da hạc da cáo mặc làm việc nhà có lông dày và ấm.
去丧，无所不佩。	Khi mãn tang thì ngài thường đeo ngọc.
非帷裳,必杀之。	Nói chung áo mặc ở nhà thì giản dị hơn.
羔裘玄冠不以吊。	Không mặc áo da cừu màu đen và mũ đen đi viếng tang.
吉月，必朋而朝。	Ngày đầu tháng, Khổng tử mặc triều phục vào chầu vua.
齐，必有明衣,布。	Vào kỳ tế lễ, Khổng tử giữ mình sạch sẽ, mặc áo vải trắng.
齐,必变食,居必迁坐。	Trong kỳ tế lễ, thay đổi thức ăn, dời phòng nghỉ (tạm không ở chung phòng với thê, thiếp).
食不厌精，脍不厌细。食饐而餲,鱼馁而肉败，不食。	Về ăn uống.
色恶,不食。臭恶,不食。失饪，不食。	Khổng tử không cần cao lương mỹ vị nhưng chọn thực phẩm vệ sinh và hợp đạo lí quân tử.
不时，不食，割不正,不食。不得兲酱,不食。肉虽多,不使胜食气。	Gạo giã trắng, thịt thái mỏng. Ngài không ăn tám loại sau đây: lương thực để lâu đổi màu, thức ăn ôi thiu, rau quả héo úa, thịt cá sống đã ngả màu, thức ăn có mùi khó ngửi, nấu sống hay chín quá, thực phẩm trái mùa, thức ăn nêm nếm không đúng cách, miếng thịt thái không vuông vắn.
唯酒无量，不及乱。	Thức ăn nhiều ngài cũng không ăn quá no, rượu không giới hạn nhưng không quá say.
沽酒市脯，不食。	Không mua rượu và thịt khô ngoài chợ.
不撤薑食，不多食。	Mỗi bữa ăn đều có gừng, chỉ vừa đủ.
祭於公，不宿肉，祭肉不出三日。出三日，不食之矣。	Khổng tử dự lễ ở tông miếu, không để thịt qua đêm. Khi tế ở nhà, ngài không để thịt quá ba ngày. Nếu quá ba ngày, ngài không ăn nữa.
食不语，寝不言。	Khi ăn không trò chuyện, khi ngủ cũng không nói chuyện với ai.
虽疏食菜羹，瓜祭，必齐如也。	Tuy ăn cơm rau cải bình thường, Khổng tử cũng cúng một ít dưa, thành tâm như cúng lễ.
席不正，不坐。	Chiếu trải không ngay ngắn, (ngài) không ngồi.
乡人饮酒，杖者出，斯出矣。	Khi uống rượu với người làng, đợi các cụ cao tuổi rời khỏi mâm, Khổng tử mới rời sau.
乡人傩，朝服而立於阼阶。	Người làng làm lễ tống quỷ nghênh thần, Khổng tử mặc triều phục đứng bậc thềm phía đông.
问人於他邦，再拜而送之。	Khi nhờ người thăm hỏi bạn hữu ở nước khác, Khổng tử vái người đưa tin hai cái để tiễn người ấy.
康子馈药，拜而受之。曰：“丘未达，不敢尝”。	Quí Khang tử biếu thuốc, Khổng tử bái tạ rồi mới nhận, rồi nói: Khâu này chưa rõ tính thuốc nên chưa dám nếm.
厩焚。	Chuồng ngựa cháy.
子退朝，曰:伤人乎？	Khổng tử rời khỏi triều đình, về đến nhà chỉ hỏi “Có ai bị thương không?”.
不问马。	Không hỏi ngựa.
君赐食,必正席先尝之.	Vua ban cho thức ăn chín, Khổng tử nhất định trải chiếu ngay ngắn rồi mới ngồi ăn.
君赐腥,必熟而荐之。	Vua ban thức ăn sống, Khổng tử nấu xong, cúng tổ tiên rồi mới ăn.
君赐生,必畜之.	Vua ban cho con vật còn sống, Khổng tử giữ lại nuôi.
侍食於君,君祭,先饭。	Khi ngồi hầu cơm vua, vua đang tế lễ, Khổng tử nếm trước.
疾，君视之，东首，加朝服，拖绅。	Khổng tử bệnh nằm ở nhà, vua đến thăm, Khổng tử chuyển đầu hướng phía đông, đem triều phục đắp lên người, dây đeo ở trên cùng.
君命召，不俟驾行矣。	Khi vua gọi, Khổng tử đi bộ tới ngay, không cần xe.
入太庙，每事问。	Khi vào lễ thái miếu, Khổng tử gặp điều gì cũng hỏi.
朊友死，无所归，曰:“於我殡”。	Bạn hữu qua đời, không có thân thuộc, Khổng tử nói: Việc này do ta chịu trách nhiệm.
朊友之馈，虽车马，非祭肉，不拜。	Bạn hữu tặng quà, dù là vật quí như xe ngựa nhưng không phải vật cúng tế được thì khi nhận, Khổng tử không bái tạ.
寝不尸，居不容。	Ngủ ở nhà Khổng tử không nằm duỗi thẳng như cái xác, ở nhà dung mạo bình thường, không quá nghiêm túc.
见齐衰者，虽狎，必变。	Gặp người có tang tuy là quan hệ thân cận, Khổng tử vẫn thay đổi thái độ tỏ lòng thương xót.
见冕者与瞽者,虽亵，必以貌。	Nhìn thấy người mặc triều phục đội mũ miện hoặc người mù tuy là người quen, Khổng tử vẫn giữ thái độ lịch sự.
凶服者式之。	Đi xe trên đường, gặp người mặc tang phục, Khổng tử cúi người phía trước gật đầu như chia sẻ với họ, tay vịn thành xe.
式负版者。	Gặp người cầm sổ sách nhà nước cũng cúi chào như vậy để tỏ lòng kính trọng.
有盛馔，必变色而作。	Khi làm khách, thấy chủ nhà dọn mâm thịnh soạn, Khổng tử cũng thay đổi thái độ, cảm ơn rồi mới cầm đũa.
迅雷风烈必变。	Thấy cơn sấm to gió lớn, Khổng tử cũng tỏ vẻ lo lắng thiên tai gây họa cho dân.
升车，必正立，执绥。车中，不内顾，不疾言，不亲指。	Lên xe, phải đứng thẳng, nắm sợi dây vịn rồi bước lên, vào trong xe. Lên xe rồi, không nhìn vào trong (tránh tò mò), không nói chuyện ngay, không giơ tay chỉ trỏ.
色斯举矣,翔而后集。	Con chim thấy người có khí sắc dữ tợn, nó cất cánh bay đi vòng lại, rồi mới đỗ xuống.
曰:山梁雌雉，时哉时哉!	Khổng tử nói: Con chim trĩ mái trên sườn núi kia nó biết thời cơ lắm thay!
子路兯之，三嗅而作。	Tử Lộ định vồ bắt, nó kêu ba tiếng mà bay đi.
子曰:先进於礼乐,野人也；后进於礼乐,君子也。如用之，则吾从先进。	Khổng tử nói: Đời trước dùng lễ nhạc coi trọng phối hợp nội dung và hình thức, về sau bị coi là quê mùa. Đời sau coi trọng hình thức hơn nội dung thì được xem là quân tử. Khi dùng lễ nhạc, ta vẫn theo đời trước.
子曰:从我於陈、蔡者，皆不及门也。	Khổng tử nói: Những người cùng theo ta sang nước Trần, nước Thái nay không còn ở bên ta nữa.
德行：颜渊、闵子骞,冉伯牛,仲弓。	Về đức hạnh tốt có: Nhan Hồi, Mẫn Tử Khiên, Nhiễm Bá Ngưu, Trọng Cung.
言语：宰我,子贡。	Khéo ăn nói giao tiếp có: Tể Ngã, Tử Cống.
政事：冉有,季路。	Giỏi chính trị có: Nhiễm Hữu, Quý Lộ.
文学：子游、子夏。	Tài văn học có: Tử Du, Tử Hạ.
子曰：回也非助我者也，於吾言无所不说。	Khổng tử nói: Nhan Hồi không phải người giúp ta mở mang kiến thức. Không lời nào ta nói mà trò ấy không thích.
子曰：孝哉闵子骞！	Khổng tử nói: Mẫn Tử Khiêm thật là người hiếu thuận.
人不间於其父母昆弟之言。	Lời khen của người ngoài giống như lời khen của cha mẹ.
南容三复白圭，孔子以兲兄之子妻之。	Nam Dung ba lần đọc thông mấy câu thơ Bạch Khuê. Khổng tử đem con gái của anh trai mình gả cho Dung.
季康子问:弟子孰为好学?	Quý Khang tử hỏi: Trong số học trò của ngài, ai là người hiếu học nhất?
孔子对曰:有颜回者好学,不幸短命死矣,今也则亡。	Khổng tử nói: Có Nhan Hồi ham học nhất, không may đoản mệnh, chết mất rồi. Bây giờ chẳng còn ai nữa.
颜渊死，颜路请子之车以为之椁。	Nhan Uyên chết, Nhan Lộ đề nghị với Khổng tử bán cái xe để mua cái quách (ngoài quan tài).
子曰：才不才,亦各言兲子也。	Khổng tử nói: Dù có tài hay bất tài, đều là hàng con cháu chúng ta cả.
鲤也死，有棺而无椁。	Đến như Lý chết cũng chỉ có quan tài không có quách.
吾不徒行以为之椁。	Ta không thẻ bán xe để mua quách.
以吾从大夫之后，不可徒行也。	Ta đã từng làm quan đại phu, không thể đi bộ được.
颜渊死，子曰：噫！天丧予！天丧予！	Nhan Uyên chết, Khổng tử kêu: Hỡi ôi, Trời hại ta, Trời hại ta rồi!
